Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:58] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //channels/create/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //channels/create/v2 HTTP/1.1" 400 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [28/Mar/2022 15:29:59] "POST //auth/register/v2 HTTP/1.1" 200 -
